category,item,value,details
Origins,First detected,1976,"Simultaneous outbreaks in DRC and Sudan near the Ebola River"
Viruses,Key human species,"EBOV,SUDV,BDBV,Taï Forest","Four orthoebolavirus species cause human illness"
Incubation,Range,"2-21 days","Average onset 8-10 days after exposure"
Symptoms,Early signs,"Fever, fatigue, headache, sore throat","Dry symptoms followed by wet symptoms"
Symptoms,Advanced signs,"Diarrhea, vomiting, rash, organ failure","Bleeding is less frequent but possible"
Transmission,Human contact,"Blood or body fluids","Includes contaminated surfaces and infected objects"
Transmission,Wild animal contact,"Bats, primates, antelopes","Zoonotic spillover from wildlife reservoir"
Fatality,Case fatality rate,"25-90%","Average around 50% across outbreaks"
Treatment,Supportive care,"Fluids, electrolytes, pain control","Early care improves survival dramatically"
Treatment,Approved therapies,"Ansuvimab, REGN-EB3","Monoclonal antibodies for Ebola virus disease"
Vaccines,Available vaccines,"Ervebo, Zabdeno/Mvabea","Used in outbreak response and ring vaccination"
Prevention,Outbreak control,"Surveillance, contact tracing, safe burials","Community engagement is essential"
Survivors,Post-recovery care,"Counseling, semen testing","Viral persistence can occur in immune-privileged sites"
Alert,Current situation,"2026 emergency","WHO dashboard reports DRC and Uganda outbreak response"
